date,weekly,weight,des,channel_code,platform_shop_name,supply_channel_code,supply_channel_name,discount,total_fee,total_original_fee,zh_name,weight_strategy,platform,order_no,currency,分组,标签
2022-01-26,202205,0.645,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,136.41,,女鞋,K8,WISH,T00D7A0098124342,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,1.062,CZ,CNE全球优先,,优先_OCZGLS,优先_OCZGLS,,111.801,,棉制男士束脚裤,W0,WISH,903488626665,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.603,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.3355,,坐垫,W0,WISH,6A21582629762,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.484,IT,CNE全球优先,,优先_WITGLS,优先_WITGLS,,62.51,,化纤男式休闲裤,W0,WISH,WW620029998,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.6,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.1,,坐垫,W0,WISH,6A21582654597,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.549,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,67.0965,,坡跟凉鞋,W0,WISH,6A21582592936,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.467,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,60.6595,,睡袋,W0,WISH,6A21582654627,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.762,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,80.151,,男式呢裤子,W0,WISH,T00D7A0098635799,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.835,GB,CNE全球优先,,优先_GBHERMES,优先_GBHERMES,,86.3925,,棉制男式裤子,W0,WISH,T00D7A0098636068,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.612,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,72.042,,坐垫,W0,WISH,6A21582629748,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.758,IT,CNE全球优先,,优先_WITGLS,优先_WITGLS,,83.745,,棉制男士裤子,W0,WISH,WW620025657,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.73,ES,CNE全球优先,,优先_ESTIPSA,优先_ESTIPSA,,91.8,,棉质男士休闲裤,W0,WISH,3A5V599272791,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-26,202205,0.697,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,78.7145,,睡袋,W0,WISH,6A21582600181,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-28,202205,0.579,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,70.426,,塑料猫碗,W,WISH,3A5V599577738,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.608,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,71.728,,护膝带,K8,WISH,6A21582655990,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.717,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,80.2845,,毛毯,K8,WISH,6A21582630850,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.79,SE,CNE全球特惠,,特惠_SEMTD,特惠_SEMTD,,90.26,,塑料猫碗,K8,WISH,3A5V599254240,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.679,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,77.3015,,法兰绒毛毯,K8,WISH,6A21582630829,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.667,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,76.3595,,法兰绒毛毯,K8,WISH,6A21582630744,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.775,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,84.8375,,毛毯,K8,WISH,6A21582630751,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-21,202204,0.485,FR,CNE全球优先,,快捷_FRFTL6A,快捷_FRFTL6A,,62.0725,,毛毯,K8,WISH,6A21582630706,CNY,"(0.453, 1.1]",0.454-1.1KG
2022-01-22,202204,0.781,LT,CNE全球特惠,,特惠_OLTVPK,特惠_OLTVPK,,87.509,,瑜伽拉力绳,K8,WISH,3A5V599575063,CNY,"(0.453, 1.1]",0.454-1.1KG
